genre,title,year,rating
Action,"Tokyo Tribe",2014,5.0
Action,"Justice League: Doom",2012,5.0
Action,"On the Other Side of the Tracks (De l'autre côté du périph)",2012,5.0
Action,"Faster",2010,5.0
Action,"Superman/Batman: Public Enemies",2009,5.0
Action,"Wonder Woman",2009,5.0
Action,"Love Exposure (Ai No Mukidashi)",2008,5.0
Action,"Max Manus",2008,5.0
Action,"Battle Royale 2: Requiem (Batoru rowaiaru II: Chinkonka)",2003,5.0
Action,"Sisters (Syostry)",2001,5.0
Action,"Knock Off",1998,5.0
Action,"Assignment, The",1997,5.0
Action,"Sonatine (Sonachine)",1993,5.0
Action,"Supercop 2 (Project S) (Chao ji ji hua)",1993,5.0
Action,"Maniac Cop 2",1990,5.0
Action,"Reform School Girls",1986,5.0
Action,"Crippled Avengers (Can que) (Return of the 5 Deadly Venoms)",1981,5.0
Action,"Galaxy of Terror (Quest)",1981,5.0
Action,"Alien Contamination",1980,5.0
Action,"Shogun Assassin",1980,5.0
Action,"Last Hurrah for Chivalry (Hao xia)",1979,5.0
Action,"Priklyucheniya Kapitana Vrungelya",1979,5.0
Action,"The Big Bus",1976,5.0
Action,"Branded to Kill (Koroshi no rakuin)",1967,5.0
Action,"The Pacific",2010,4.8
Action,"Victory (a.k.a. Escape to Victory)",1981,4.8
Action,"Dog Soldiers",2002,4.7
Action,"Tekkonkinkreet (Tekkon kinkurîto)",2006,4.6
Action,"Gintama",2017,4.5
Action,"Maximum Ride",2016,4.5
Action,"Barely Lethal",2015,4.5
Action,"Ryuzo and the Seven Henchmen",2015,4.5
Action,"Alpha and Omega 3: The Great Wolf Games",2014,4.5
Action,"Ninja: Shadow of a Tear",2013,4.5
Action,"The Man from Nowhere",2010,4.5
Action,"Cell 211 (Celda 211)",2009,4.5
Action,"Redline",2009,4.5
Action,"Assembly (Ji jie hao)",2007,4.5
Action,"Doctor Who: Voyage Of The Damned",2007,4.5
Action,"Rise of the Footsoldier",2007,4.5
Action,"Tae Guk Gi: The Brotherhood of War (Taegukgi hwinalrimyeo)",2004,4.5
Action,"Paid in Full",2002,4.5
Action,"Musa the Warrior (Musa)",2001,4.5
Action,"Dead or Alive 2: Tôbôsha",2000,4.5
Action,"Dragonheart 2: A New Beginning",2000,4.5
Action,"Flickering Lights (Blinkende lygter)",2000,4.5
Action,"Monday",2000,4.5
Action,"Nirvana",1997,4.5
Action,"Palookaville",1996,4.5
Action,"New York Cop (Nyû Yôku no koppu)",1993,4.5
Action,"Riki-Oh: The Story of Ricky (Lik Wong)",1991,4.5
Action,"Flashback",1990,4.5
Action,"Miracles - Mr. Canton and Lady Rose",1989,4.5
Action,"Hangar 18",1980,4.5
Action,"Stunt Man, The",1980,4.5
Action,"Shaolin Temple (Shao Lin si)",1976,4.5
Action,"Master of the Flying Guillotine (Du bi quan wang da po xue di zi)",1975,4.5
Action,"Taking of Pelham One Two Three, The",1974,4.5
Action,"Big Bird Cage, The",1972,4.5
Action,"Sympathy for the Underdog",1971,4.5
Action,"Touch of Zen, A (Xia nu)",1971,4.5
Action,"Army of Shadows (L'armée des ombres)",1969,4.5
Action,"Aelita: The Queen of Mars (Aelita)",1924,4.5
Action,"7th Voyage of Sinbad, The",1958,4.4
Action,"Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro)",2010,4.4
Action,"All Quiet on the Western Front",1930,4.3
Action,"Baby Driver",2017,4.3
Action,"The Raid: Redemption",2011,4.3
Action,"Gladiator",1992,4.3
Action,"Raiders of the Lost Ark: The Adaptation",1989,4.3
Action,"Once Upon a Time in the West (C'era una volta il West)",1968,4.3
Action,"Elite Squad (Tropa de Elite)",2007,4.3
Action,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni)",1997,4.3
Action,"Band of Brothers",2001,4.3
Action,"Logan",2017,4.3
Action,"Fight Club",1999,4.3
Action,"Slow West",2015,4.2
Action,"Why Don't You Play In Hell? (Jigoku de naze warui)",2013,4.2
Action,"All-Star Superman",2011,4.2
Action,"Rare Exports: A Christmas Tale (Rare Exports)",2010,4.2
Action,"Battlestar Galactica: The Plan",2009,4.2
Action,"Dead Snow (Død snø)",2009,4.2
Action,"Girl Who Played with Fire, The (Flickan som lekte med elden)",2009,4.2
Action,"Left Behind: The Movie",2000,4.2
Action,"Dead or Alive: Hanzaisha",1999,4.2
Action,"Knockin' on Heaven's Door",1997,4.2
Action,"Point of No Return",1993,4.2
Action,"Chinese Ghost Story, A (Sinnui yauwan)",1987,4.2
Action,"Police Story (Ging chaat goo si)",1985,4.2
Action,"Big Red One, The",1980,4.2
Action,"Outlaw Josey Wales, The",1976,4.2
Action,"Asterix and Cleopatra (Astérix et Cléopâtre)",1968,4.2
Action,"Sword of Doom, The (Dai-bosatsu tôge)",1966,4.2
Action,"Sanjuro (Tsubaki Sanjûrô)",1962,4.2
Action,"Hidden Fortress, The (Kakushi-toride no san-akunin)",1958,4.2
Action,"Public Enemy, The",1931,4.2
Action,"Dark Knight, The",2008,4.2
Action,"Princess Bride, The",1987,4.2
Action,"Star Wars: Episode IV - A New Hope",1977,4.2
Action,"Yojimbo",1961,4.2
Action,"Boondock Saints, The",2000,4.2
Action,"Apocalypse Now",1979,4.2
Action,"Star Wars: Episode V - The Empire Strikes Back",1980,4.2
Action,"Boot, Das (Boat, The)",1981,4.2
Action,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)",1981,4.2
Action,"Girl Who Kicked the Hornet's Nest, The (Luftslottet som sprängdes)",2009,4.2
Action,"Matrix, The",1999,4.2
Action,"Seven Samurai (Shichinin no samurai)",1954,4.2
Action,"North by Northwest",1959,4.2
Action,"Ninja Assassin",2009,4.2
Action,"Bittersweet Life, A (Dalkomhan insaeng)",2005,4.2
Action,"Game of Death",1978,4.2
Action,"Duellists, The",1977,4.2
Action,"Harder They Come, The",1973,4.2
Action,"Way of the Dragon, The (a.k.a. Return of the Dragon) (Meng long guo jiang)",1972,4.2
Action,"Untitled Spider-Man Reboot",2017,4.2
Action,"For a Few Dollars More (Per qualche dollaro in più)",1965,4.2
Action,"City of God (Cidade de Deus)",2002,4.1
Action,"Saving Private Ryan",1998,4.1
Action,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)",1966,4.1
Action,"John Wick: Chapter Two",2017,4.1
Action,"Star Wars: Episode VI - Return of the Jedi",1983,4.1
Action,"Inglourious Basterds",2009,4.1
Action,"Kelly's Heroes",1970,4.1
Action,"Great Escape, The",1963,4.1
Action,"Legend of Drunken Master, The (Jui kuen II)",1994,4.1
Action,"Lord of the Rings: The Return of the King, The",2003,4.1
Action,"Zero Dark Thirty",2012,4.1
Action,"Blade Runner",1982,4.1
Action,"Dragonslayer",1981,4.1
Action,"Femme Nikita, La (Nikita)",1990,4.1
Action,"Inception",2010,4.1
Action,"Laputa: Castle in the Sky (Tenkû no shiro Rapyuta)",1986,4.1
Action,"3:10 to Yuma",2007,4.1
Action,"Hurt Locker, The",2008,4.1
Action,"Guardians of the Galaxy",2014,4.1
Action,"Drunken Master (Jui kuen)",1978,4.0
Action,"Indiana Jones and the Last Crusade",1989,4.0
Action,"Evil Dead II (Dead by Dawn)",1987,4.0
Action,"Army of Darkness",1993,4.0
Action,"Enter the Dragon",1973,4.0
Action,"Road Warrior, The (Mad Max 2)",1981,4.0
Action,"Braveheart",1995,4.0
Action,"Thor: Ragnarok",2017,4.0
Action,"Léon: The Professional (a.k.a. The Professional) (Léon)",1994,4.0
Action,"Jaws",1975,4.0
Action,"Avengers: Infinity War - Part I",2018,4.0
Action,"Death Wish",2018,4.0
Action,"Game Night",2018,4.0
Action,"Black Butler: Book of the Atlantic",2017,4.0
Action,"CHiPS",2017,4.0
Action,"Snatched",2017,4.0
Action,"Kizumonogatari Part 1: Tekketsu",2016,4.0
Action,"Masterminds",2016,4.0
Action,"Shin Godzilla",2016,4.0
Action,"Anacleto: Agente secreto",2015,4.0
Action,"Dragon Ball Z: Resurrection of F",2015,4.0
Action,"Dragonheart 3: The Sorcerer's Curse",2015,4.0
Action,"Gunman, The",2015,4.0
Action,"Ip Man 3",2015,4.0
Action,"Power/Rangers",2015,4.0
Action,"The Boy and the Beast",2015,4.0
Action,"'71",2014,4.0
Action,"Dead Snow 2: Red vs. Dead",2014,4.0
Action,"2 Guns",2013,4.0
Action,"Dragon Ball Z: Battle of Gods",2013,4.0
Action,"Escape Plan",2013,4.0
Action,"Machete Kills (Machete 2)",2013,4.0
Action,"Marvel One-Shot: Agent Carter",2013,4.0
Action,"Universal Soldier: Day of Reckoning",2012,4.0
Action,"Kill the Irishman",2011,4.0
Action,"13 Assassins (Jûsan-nin no shikaku)",2010,4.0
Action,"Undisputed III: Redemption",2010,4.0
Action,"Alice",2009,4.0
Action,"Merantau",2009,4.0
Action,"Red Cliff Part II (Chi Bi Xia: Jue Zhan Tian Xia)",2009,4.0
Action,"Baader Meinhof Komplex, Der",2008,4.0
Action,"Doomsday",2008,4.0
Action,"Mesrine: Killer Instinct (L'instinct de mort)",2008,4.0
